"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"50-54 years"	"50-54"	"2016"	"2016"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	589	139079	423.5
	"50-54 years"	"50-54"	"2016"	"2016"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1068	684190	156.1
	"50-54 years"	"50-54"	"2016"	"2016"	"Female"	"F"	"Black or African American"	"2054-5"	8502	1527679	556.5
	"50-54 years"	"50-54"	"2016"	"2016"	"Female"	"F"	"White"	"2106-3"	32455	8757924	370.6
	"50-54 years"	"50-54"	"2016"	"2016"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	872	136243	640.0
	"50-54 years"	"50-54"	"2016"	"2016"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1566	600388	260.8
	"50-54 years"	"50-54"	"2016"	"2016"	"Male"	"M"	"Black or African American"	"2054-5"	11197	1346024	831.9
	"50-54 years"	"50-54"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	51682	8647529	597.7
	"50-54 years"	"50-54"	"2017"	"2017"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	598	137449	435.1
	"50-54 years"	"50-54"	"2017"	"2017"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1097	701877	156.3
	"50-54 years"	"50-54"	"2017"	"2017"	"Female"	"F"	"Black or African American"	"2054-5"	8076	1511616	534.3
	"50-54 years"	"50-54"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	31092	8529970	364.5
	"50-54 years"	"50-54"	"2017"	"2017"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	840	135182	621.4
	"50-54 years"	"50-54"	"2017"	"2017"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1669	615271	271.3
	"50-54 years"	"50-54"	"2017"	"2017"	"Male"	"M"	"Black or African American"	"2054-5"	11123	1330111	836.2
	"50-54 years"	"50-54"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	49949	8439618	591.8
	"50-54 years"	"50-54"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	543	135586	400.5
	"50-54 years"	"50-54"	"2018"	"2018"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1040	703447	147.8
	"50-54 years"	"50-54"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	7823	1485501	526.6
	"50-54 years"	"50-54"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	29497	8282823	356.1
	"50-54 years"	"50-54"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	831	134045	619.9
	"50-54 years"	"50-54"	"2018"	"2018"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1674	615275	272.1
	"50-54 years"	"50-54"	"2018"	"2018"	"Male"	"M"	"Black or African American"	"2054-5"	11065	1306939	846.6
	"50-54 years"	"50-54"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	47491	8220948	577.7
	"50-54 years"	"50-54"	"2019"	"2019"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	540	133850	403.4
	"50-54 years"	"50-54"	"2019"	"2019"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1098	713068	154.0
	"50-54 years"	"50-54"	"2019"	"2019"	"Female"	"F"	"Black or African American"	"2054-5"	7568	1459626	518.5
	"50-54 years"	"50-54"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	27959	8083996	345.9
	"50-54 years"	"50-54"	"2019"	"2019"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	829	133241	622.2
	"50-54 years"	"50-54"	"2019"	"2019"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1723	626055	275.2
	"50-54 years"	"50-54"	"2019"	"2019"	"Male"	"M"	"Black or African American"	"2054-5"	10818	1282378	843.6
	"50-54 years"	"50-54"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	46119	8044937	573.3
	"50-54 years"	"50-54"	"2020 "	"2020"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	746	133755	557.7
	"50-54 years"	"50-54"	"2020 "	"2020"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1347	736897	182.8
	"50-54 years"	"50-54"	"2020 "	"2020"	"Female"	"F"	"Black or African American"	"2054-5"	9217	1454889	633.5
	"50-54 years"	"50-54"	"2020 "	"2020"	"Female"	"F"	"White"	"2106-3"	31711	8018198	395.5
	"50-54 years"	"50-54"	"2020 "	"2020"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	1067	133802	797.4
	"50-54 years"	"50-54"	"2020 "	"2020"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	2246	645487	348.0
	"50-54 years"	"50-54"	"2020 "	"2020"	"Male"	"M"	"Black or African American"	"2054-5"	13815	1276725	1082.1
	"50-54 years"	"50-54"	"2020 "	"2020"	"Male"	"M"	"White"	"2106-3"	54562	7995774	682.4
	"55-59 years"	"55-59"	"1999"	"1999"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	331	50646	653.6
	"55-59 years"	"55-59"	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	761	237721	320.1
	"55-59 years"	"55-59"	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	7608	722150	1053.5
	"55-59 years"	"55-59"	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	32743	5754517	569.0
	"55-59 years"	"55-59"	"1999"	"1999"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	452	47202	957.6
	"55-59 years"	"55-59"	"1999"	"1999"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1105	211740	521.9
	"55-59 years"	"55-59"	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	10751	589866	1822.6
	"55-59 years"	"55-59"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	51133	5470979	934.6
	"55-59 years"	"55-59"	"2000"	"2000"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	354	54563	648.8
	"55-59 years"	"55-59"	"2000"	"2000"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	806	251678	320.3
	"55-59 years"	"55-59"	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	7374	740990	995.2
	"55-59 years"	"55-59"	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	33792	5913277	571.5
	"55-59 years"	"55-59"	"2000"	"2000"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	459	51121	897.9
	"55-59 years"	"55-59"	"2000"	"2000"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1131	223922	505.1
	"55-59 years"	"55-59"	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	10787	607295	1776.2
	"55-59 years"	"55-59"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	52048	5626391	925.1
	"55-59 years"	"55-59"	"2001"	"2001"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	346	57821	598.4
	"55-59 years"	"55-59"	"2001"	"2001"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	821	275668	297.8
	"55-59 years"	"55-59"	"2001"	"2001"	"Female"	"F"	"Black or African American"	"2054-5"	7868	770574	1021.1
	"55-59 years"	"55-59"	"2001"	"2001"	"Female"	"F"	"White"	"2106-3"	34687	6105333	568.1
	"55-59 years"	"55-59"	"2001"	"2001"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	475	54056	878.7
	"55-59 years"	"55-59"	"2001"	"2001"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1222	242365	504.2
	"55-59 years"	"55-59"	"2001"	"2001"	"Male"	"M"	"Black or African American"	"2054-5"	10984	634846	1730.2
	"55-59 years"	"55-59"	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	53120	5828312	911.4
	"55-59 years"	"55-59"	"2002"	"2002"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	380	63498	598.4
	"55-59 years"	"55-59"	"2002"	"2002"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	911	302571	301.1
	"55-59 years"	"55-59"	"2002"	"2002"	"Female"	"F"	"Black or African American"	"2054-5"	8143	823084	989.3
	"55-59 years"	"55-59"	"2002"	"2002"	"Female"	"F"	"White"	"2106-3"	36177	6612837	547.1
	"55-59 years"	"55-59"	"2002"	"2002"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	514	59760	860.1
	"55-59 years"	"55-59"	"2002"	"2002"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1231	263290	467.5
	"55-59 years"	"55-59"	"2002"	"2002"	"Male"	"M"	"Black or African American"	"2054-5"	11550	683307	1690.3
	"55-59 years"	"55-59"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	56535	6334720	892.5
	"55-59 years"	"55-59"	"2003"	"2003"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	408	68338	597.0
	"55-59 years"	"55-59"	"2003"	"2003"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	953	333372	285.9
	"55-59 years"	"55-59"	"2003"	"2003"	"Female"	"F"	"Black or African American"	"2054-5"	8418	872611	964.7
	"55-59 years"	"55-59"	"2003"	"2003"	"Female"	"F"	"White"	"2106-3"	37372	6867635	544.2
	"55-59 years"	"55-59"	"2003"	"2003"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	543	64292	844.6
	"55-59 years"	"55-59"	"2003"	"2003"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1257	286556	438.7
	"55-59 years"	"55-59"	"2003"	"2003"	"Male"	"M"	"Black or African American"	"2054-5"	12040	729106	1651.3
	"55-59 years"	"55-59"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	58348	6592647	885.0
	"55-59 years"	"55-59"	"2004"	"2004"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	409	73618	555.6
	"55-59 years"	"55-59"	"2004"	"2004"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1001	365496	273.9
	"55-59 years"	"55-59"	"2004"	"2004"	"Female"	"F"	"Black or African American"	"2054-5"	8690	934852	929.6
	"55-59 years"	"55-59"	"2004"	"2004"	"Female"	"F"	"White"	"2106-3"	37663	7173983	525.0
	"55-59 years"	"55-59"	"2004"	"2004"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	597	69190	862.8
	"55-59 years"	"55-59"	"2004"	"2004"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1386	310541	446.3
	"55-59 years"	"55-59"	"2004"	"2004"	"Male"	"M"	"Black or African American"	"2054-5"	12646	783212	1614.6
	"55-59 years"	"55-59"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	58771	6896284	852.2
	"55-59 years"	"55-59"	"2005"	"2005"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	397	79331	500.4
	"55-59 years"	"55-59"	"2005"	"2005"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1052	402416	261.4
	"55-59 years"	"55-59"	"2005"	"2005"	"Female"	"F"	"Black or African American"	"2054-5"	9042	1007600	897.4
	"55-59 years"	"55-59"	"2005"	"2005"	"Female"	"F"	"White"	"2106-3"	38999	7518512	518.7
	"55-59 years"	"55-59"	"2005"	"2005"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	678	74846	905.9
	"55-59 years"	"55-59"	"2005"	"2005"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1483	338822	437.7
	"55-59 years"	"55-59"	"2005"	"2005"	"Male"	"M"	"Black or African American"	"2054-5"	13614	848277	1604.9
	"55-59 years"	"55-59"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	62213	7233416	860.1
	"55-59 years"	"55-59"	"2006"	"2006"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	431	85312	505.2
	"55-59 years"	"55-59"	"2006"	"2006"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1108	432054	256.4
	"55-59 years"	"55-59"	"2006"	"2006"	"Female"	"F"	"Black or African American"	"2054-5"	9614	1080259	890.0
	"55-59 years"	"55-59"	"2006"	"2006"	"Female"	"F"	"White"	"2106-3"	40527	7875440	514.6
	"55-59 years"	"55-59"	"2006"	"2006"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	658	80263	819.8
	"55-59 years"	"55-59"	"2006"	"2006"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1612	360563	447.1
	"55-59 years"	"55-59"	"2006"	"2006"	"Male"	"M"	"Black or African American"	"2054-5"	14168	910675	1555.8
	"55-59 years"	"55-59"	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	64935	7572294	857.5
	"55-59 years"	"55-59"	"2007"	"2007"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	486	88766	547.5
	"55-59 years"	"55-59"	"2007"	"2007"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1148	453767	253.0
	"55-59 years"	"55-59"	"2007"	"2007"	"Female"	"F"	"Black or African American"	"2054-5"	9722	1121442	866.9
	"55-59 years"	"55-59"	"2007"	"2007"	"Female"	"F"	"White"	"2106-3"	39512	7845498	503.6
	"55-59 years"	"55-59"	"2007"	"2007"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	700	82836	845.0
	"55-59 years"	"55-59"	"2007"	"2007"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1650	377346	437.3
	"55-59 years"	"55-59"	"2007"	"2007"	"Male"	"M"	"Black or African American"	"2054-5"	14468	943929	1532.7
	"55-59 years"	"55-59"	"2007"	"2007"	"Male"	"M"	"White"	"2106-3"	64772	7541188	858.9
	"55-59 years"	"55-59"	"2008"	"2008"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	470	93070	505.0
	"55-59 years"	"55-59"	"2008"	"2008"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1191	474713	250.9
	"55-59 years"	"55-59"	"2008"	"2008"	"Female"	"F"	"Black or African American"	"2054-5"	9795	1162262	842.8
	"55-59 years"	"55-59"	"2008"	"2008"	"Female"	"F"	"White"	"2106-3"	39829	7972193	499.6
	"55-59 years"	"55-59"	"2008"	"2008"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	715	86771	824.0
	"55-59 years"	"55-59"	"2008"	"2008"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1643	394079	416.9
	"55-59 years"	"55-59"	"2008"	"2008"	"Male"	"M"	"Black or African American"	"2054-5"	14728	979107	1504.2
	"55-59 years"	"55-59"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	66337	7652373	866.9
	"55-59 years"	"55-59"	"2009"	"2009"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	507	98113	516.8
	"55-59 years"	"55-59"	"2009"	"2009"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1144	493981	231.6
	"55-59 years"	"55-59"	"2009"	"2009"	"Female"	"F"	"Black or African American"	"2054-5"	10076	1205624	835.7
	"55-59 years"	"55-59"	"2009"	"2009"	"Female"	"F"	"White"	"2106-3"	40772	8148499	500.4
	"55-59 years"	"55-59"	"2009"	"2009"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	727	91388	795.5
	"55-59 years"	"55-59"	"2009"	"2009"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1723	410007	420.2
	"55-59 years"	"55-59"	"2009"	"2009"	"Male"	"M"	"Black or African American"	"2054-5"	15062	1017966	1479.6
	"55-59 years"	"55-59"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	67695	7815025	866.2
	"55-59 years"	"55-59"	"2010"	"2010"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	543	102035	532.2
	"55-59 years"	"55-59"	"2010"	"2010"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1188	507247	234.2
	"55-59 years"	"55-59"	"2010"	"2010"	"Female"	"F"	"Black or African American"	"2054-5"	10307	1237310	833.0
	"55-59 years"	"55-59"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	41148	8294565	496.1
	"55-59 years"	"55-59"	"2010"	"2010"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	837	95271	878.5
	"55-59 years"	"55-59"	"2010"	"2010"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1804	421667	427.8
	"55-59 years"	"55-59"	"2010"	"2010"	"Male"	"M"	"Black or African American"	"2054-5"	14939	1047860	1425.7
	"55-59 years"	"55-59"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	69195	7958850	869.4
	"55-59 years"	"55-59"	"2011"	"2011"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	536	108725	493.0
	"55-59 years"	"55-59"	"2011"	"2011"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1314	532401	246.8
	"55-59 years"	"55-59"	"2011"	"2011"	"Female"	"F"	"Black or African American"	"2054-5"	10476	1289724	812.3
	"55-59 years"	"55-59"	"2011"	"2011"	"Female"	"F"	"White"	"2106-3"	42817	8508647	503.2
	"55-59 years"	"55-59"	"2011"	"2011"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	811	101390	799.9
	"55-59 years"	"55-59"	"2011"	"2011"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1860	445708	417.3
	"55-59 years"	"55-59"	"2011"	"2011"	"Male"	"M"	"Black or African American"	"2054-5"	14971	1096583	1365.2
	"55-59 years"	"55-59"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	71487	8172370	874.7
	"55-59 years"	"55-59"	"2012"	"2012"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	578	113964	507.2
	"55-59 years"	"55-59"	"2012"	"2012"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1351	555177	243.3
	"55-59 years"	"55-59"	"2012"	"2012"	"Female"	"F"	"Black or African American"	"2054-5"	10927	1342225	814.1
	"55-59 years"	"55-59"	"2012"	"2012"	"Female"	"F"	"White"	"2106-3"	44379	8692742	510.5
	"55-59 years"	"55-59"	"2012"	"2012"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	904	106514	848.7
	"55-59 years"	"55-59"	"2012"	"2012"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1931	466393	414.0
	"55-59 years"	"55-59"	"2012"	"2012"	"Male"	"M"	"Black or African American"	"2054-5"	15536	1145196	1356.6
	"55-59 years"	"55-59"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	73372	8350306	878.7
	"55-59 years"	"55-59"	"2013"	"2013"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	643	118782	541.3
	"55-59 years"	"55-59"	"2013"	"2013"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1305	575676	226.7
	"55-59 years"	"55-59"	"2013"	"2013"	"Female"	"F"	"Black or African American"	"2054-5"	11225	1384183	810.9
	"55-59 years"	"55-59"	"2013"	"2013"	"Female"	"F"	"White"	"2106-3"	45812	8833407	518.6
	"55-59 years"	"55-59"	"2013"	"2013"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	893	110910	805.2
	"55-59 years"	"55-59"	"2013"	"2013"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	2011	486076	413.7
	"55-59 years"	"55-59"	"2013"	"2013"	"Male"	"M"	"Black or African American"	"2054-5"	15988	1186365	1347.6
	"55-59 years"	"55-59"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	75104	8499031	883.7
	"55-59 years"	"55-59"	"2014"	"2014"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	637	123269	516.8
	"55-59 years"	"55-59"	"2014"	"2014"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1390	598103	232.4
	"55-59 years"	"55-59"	"2014"	"2014"	"Female"	"F"	"Black or African American"	"2054-5"	11687	1421228	822.3
	"55-59 years"	"55-59"	"2014"	"2014"	"Female"	"F"	"White"	"2106-3"	47464	8924861	531.8
	"55-59 years"	"55-59"	"2014"	"2014"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	948	114937	824.8
	"55-59 years"	"55-59"	"2014"	"2014"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	2163	507283	426.4
	"55-59 years"	"55-59"	"2014"	"2014"	"Male"	"M"	"Black or African American"	"2054-5"	16177	1221758	1324.1
	"55-59 years"	"55-59"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	76704	8600010	891.9
	"55-59 years"	"55-59"	"2015"	"2015"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	664	127613	520.3
	"55-59 years"	"55-59"	"2015"	"2015"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1417	619755	228.6
	"55-59 years"	"55-59"	"2015"	"2015"	"Female"	"F"	"Black or African American"	"2054-5"	11973	1456627	822.0
	"55-59 years"	"55-59"	"2015"	"2015"	"Female"	"F"	"White"	"2106-3"	48363	9006380	537.0
	"55-59 years"	"55-59"	"2015"	"2015"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	1040	119244	872.2
	"55-59 years"	"55-59"	"2015"	"2015"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	2137	528539	404.3
	"55-59 years"	"55-59"	"2015"	"2015"	"Male"	"M"	"Black or African American"	"2054-5"	16433	1253761	1310.7
	"55-59 years"	"55-59"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	77562	8696023	891.9
	"55-59 years"	"55-59"	"2016"	"2016"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	657	130570	503.2
	"55-59 years"	"55-59"	"2016"	"2016"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1485	624611	237.7
	"55-59 years"	"55-59"	"2016"	"2016"	"Female"	"F"	"Black or African American"	"2054-5"	12104	1475645	820.3
	"55-59 years"	"55-59"	"2016"	"2016"	"Female"	"F"	"White"	"2106-3"	49250	9065876	543.2
	"55-59 years"	"55-59"	"2016"	"2016"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	1094	122104	896.0
	"55-59 years"	"55-59"	"2016"	"2016"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	2229	532375	418.7
	"55-59 years"	"55-59"	"2016"	"2016"	"Male"	"M"	"Black or African American"	"2054-5"	16696	1271785	1312.8
	"55-59 years"	"55-59"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	78631	8757142	897.9
	"55-59 years"	"55-59"	"2017"	"2017"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	717	132903	539.5
	"55-59 years"	"55-59"	"2017"	"2017"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1516	643305	235.7
	"55-59 years"	"55-59"	"2017"	"2017"	"Female"	"F"	"Black or African American"	"2054-5"	12213	1487113	821.3
	"55-59 years"	"55-59"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	49265	9044115	544.7
	"55-59 years"	"55-59"	"2017"	"2017"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	1061	124564	851.8
	"55-59 years"	"55-59"	"2017"	"2017"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	2200	548961	400.8
	"55-59 years"	"55-59"	"2017"	"2017"	"Male"	"M"	"Black or African American"	"2054-5"	16992	1282134	1325.3
	"55-59 years"	"55-59"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	78134	8744861	893.5
	"55-59 years"	"55-59"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	731	134789	542.3
	"55-59 years"	"55-59"	"2018"	"2018"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1579	654652	241.2
	"55-59 years"	"55-59"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	11962	1494625	800.3
	"55-59 years"	"55-59"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	48430	8987592	538.9
	"55-59 years"	"55-59"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	1128	127073	887.7
	"55-59 years"	"55-59"	"2018"	"2018"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	2396	560060	427.8
	"55-59 years"	"55-59"	"2018"	"2018"	"Male"	"M"	"Black or African American"	"2054-5"	16916	1286838	1314.5
	"55-59 years"	"55-59"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	77821	8695356	895.0
	"55-59 years"	"55-59"	"2019"	"2019"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	717	136074	526.9
	"55-59 years"	"55-59"	"2019"	"2019"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1501	669664	224.1
	"55-59 years"	"55-59"	"2019"	"2019"	"Female"	"F"	"Black or African American"	"2054-5"	11722	1500329	781.3
	"55-59 years"	"55-59"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	47458	8928835	531.5
	"55-59 years"	"55-59"	"2019"	"2019"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	1102	129367	851.8
	"55-59 years"	"55-59"	"2019"	"2019"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	2448	574303	426.3
	"55-59 years"	"55-59"	"2019"	"2019"	"Male"	"M"	"Black or African American"	"2054-5"	16985	1291177	1315.5
	"55-59 years"	"55-59"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	76520	8647642	884.9
	"55-59 years"	"55-59"	"2020 "	"2020"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	968	136051	711.5
	"55-59 years"	"55-59"	"2020 "	"2020"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1837	673624	272.7
	"55-59 years"	"55-59"	"2020 "	"2020"	"Female"	"F"	"Black or African American"	"2054-5"	14330	1495677	958.1
	"55-59 years"	"55-59"	"2020 "	"2020"	"Female"	"F"	"White"	"2106-3"	52433	8785819	596.8
	"55-59 years"	"55-59"	"2020 "	"2020"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	1499	129593	1156.7
	"55-59 years"	"55-59"	"2020 "	"2020"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	3139	581165	540.1
	"55-59 years"	"55-59"	"2020 "	"2020"	"Male"	"M"	"Black or African American"	"2054-5"	21092	1286157	1639.9
	"55-59 years"	"55-59"	"2020 "	"2020"	"Male"	"M"	"White"	"2106-3"	87930	8515013	1032.6
	"60-64 years "	"60-64"	"1999"	"1999"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	423	37824	1118.3
	"60-64 years "	"60-64"	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	988	190223	519.4
	"60-64 years "	"60-64"	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	9099	600993	1514.0
	"60-64 years "	"60-64"	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	44302	4784689	925.9
	"60-64 years "	"60-64"	"1999"	"1999"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	468	34766	1346.1
	"60-64 years "	"60-64"	"1999"	"1999"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1393	166190	838.2
	"60-64 years "	"60-64"	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	12018	471350	2549.7
	"60-64 years "	"60-64"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	65404	4407170	1484.0
	"60-64 years "	"60-64"	"2000"	"2000"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	380	40504	938.2
	"60-64 years "	"60-64"	"2000"	"2000"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	955	198864	480.2
